pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
bv	1	1	602	0.1410686764332289	241	41647	295225	0
uv	1	1	602	0.1405097806757557	241	41482	295225	0
bv	1	602	1153	0.1669939327082184	259	52983	317275	0
uv	1	602	1153	0.1669813253486723	259	52979	317275	0
bv	1	1153	1713	0.1390689829650868	242	41227	296450	0
uv	1	1153	1713	0.1410760667903525	242	41822	296450	0
bv	1	1713	2249	0.1534140987072119	251	47171	307475	0
uv	1	1713	2249	0.1607903081551345	251	49439	307475	0
uv	1	2249	2836	0.1596766091051805	260	50857	318500	0
bv	1	2249	2836	0.1663893249607535	260	52995	318500	0
bv	1	2836	3381	0.1350210560414642	252	41681	308700	0
uv	1	2836	3381	0.1413151927437641	252	43624	308700	0
bv	1	3381	3911	0.1353449951409135	252	41781	308700	0
uv	1	3381	3911	0.1381632653061224	252	42651	308700	0
bv	1	3911	4435	0.1470709741386433	247	44500	302575	0
uv	1	3911	4435	0.1406560356936296	247	42559	302575	0
bv	1	4435	5056	0.1304818809653138	263	42038	322175	0
uv	1	4435	5056	0.1364413750290991	263	43958	322175	0
uv	1	5056	5580	0.1417202346525654	247	42881	302575	0
bv	1	5056	5580	0.1425167313889118	247	43122	302575	0
bv	1	5580	6191	0.1545930760968355	247	46776	302575	0
uv	1	5580	6191	0.1546096009253904	247	46781	302575	0
bv	1	6191	6826	0.1531232653061224	250	46894	306250	0
uv	1	6191	6826	0.1483167346938775	250	45422	306250	0
bv	1	6826	7350	0.143767920391297	242	42620	296450	0
uv	1	6826	7350	0.1438657446449654	242	42649	296450	0
uv	1	7350	7976	0.1486276129885152	247	44971	302575	0
bv	1	7350	7976	0.1411616954474097	247	42712	302575	0
uv	1	7976	8545	0.1461975920075143	239	42803	292775	0
bv	1	7976	8545	0.1369925710870122	239	40108	292775	0
bv	1	8545	9053	0.1369962515618492	245	41116	300125	0
uv	1	8545	9053	0.1441699291961682	245	43269	300125	0
bv	1	9053	9575	0.14292333149476	259	45346	317275	0
uv	1	9053	9575	0.1589094633992593	259	50418	317275	0
bv	1	9575	10188	0.1341142171154176	238	39101	291550	0
uv	1	9575	10188	0.1513359629566112	238	44122	291550	0
uv	1	10188	10793	0.1591335740072202	277	53998	339325	0
bv	1	10188	10793	0.1474692404037427	277	50040	339325	0
uv	1	10793	11365	0.1320139218478088	258	41723	316050	0
bv	1	10793	11365	0.1235912039234298	258	39061	316050	0
bv	1	11365	11879	0.1450071386579323	243	43165	297675	0
uv	1	11365	11879	0.1436600319140001	243	42764	297675	0
bv	1	11879	12475	0.1483785955327012	254	46168	311150	0
uv	1	11879	12475	0.1427767957576731	254	44425	311150	0
bv	1	12475	13045	0.1528627893845285	253	47376	309925	0
uv	1	12475	13045	0.1486036944422037	253	46056	309925	0
bv	1	13045	13555	0.144436828166381	262	46357	320950	0
uv	1	13045	13555	0.131827387443527	262	42310	320950	0
uv	1	13555	14145	0.1508294930875576	248	45822	303800	0
bv	1	13555	14145	0.1519321922317314	248	46157	303800	0
bv	1	14145	14748	0.1618168823949813	257	50944	314825	0
uv	1	14145	14748	0.1535297387437465	257	48335	314825	0
