pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
bv	uv	1	1	1501	0.1165148857319332	1619	471594	4047500	0
bv	uv	1	1501	3107	0.1208661436330718	1657	500688	4142500	0
bv	uv	1	3107	4659	0.1251831265508685	1612	504488	4030000	0
bv	uv	1	4659	6178	0.1214962056303549	1634	496312	4085000	0
bv	uv	1	6178	7767	0.1278322188449848	1645	525710	4112500	0
bv	uv	1	7767	9272	0.1301986494782075	1629	530234	4072500	0
bv	uv	1	9272	10807	0.1146884012539184	1595	457320	3987500	0
bv	uv	1	10807	12356	0.1205892879647133	1587	478438	3967500	0
bv	uv	1	12356	13887	0.1271775280898876	1602	509346	4005000	0
bv	uv	1	13887	15429	0.1199750778816199	1605	481400	4012500	0
bv	uv	1	15429	16948	0.1241980722891566	1660	515422	4150000	0
bv	uv	1	16948	18474	0.1202197638284648	1609	483584	4022500	0
bv	uv	1	18474	20003	0.1243809759110562	1619	503432	4047500	0
bv	uv	1	20003	21600	0.1246799755052051	1633	509006	4082500	0
bv	uv	1	21600	23175	0.1232377639751552	1610	496032	4025000	0
bv	uv	1	23175	24693	0.1239031346035648	1627	503976	4067500	0
bv	uv	1	24693	26217	0.1203770573566084	1604	482712	4010000	0
bv	uv	1	26217	27705	0.1245339901477832	1624	505608	4060000	0
bv	uv	1	27705	29233	0.1228469273743016	1611	494766	4027500	0
bv	uv	1	29233	30748	0.1249133933933934	1665	519952	4162500	0
bv	uv	1	30748	32285	0.1185029210689869	1609	476678	4022500	0
bv	uv	1	32285	33831	0.122188944723618	1592	486312	3980000	0
bv	uv	1	33831	35407	0.1276551635663887	1559	497536	3897500	0
bv	uv	1	35407	36931	0.1197791411042944	1630	488100	4075000	0
bv	uv	1	36931	38460	0.1169194324491054	1621	473816	4052500	0
bv	uv	1	38460	40047	0.1191266418835192	1614	480676	4035000	0
bv	uv	1	40047	41553	0.1225468788249694	1634	500604	4085000	0
bv	uv	1	41553	43126	0.1218135283363802	1641	499740	4102500	0
bv	uv	1	43126	44639	0.1287145488029465	1629	524190	4072500	0
bv	uv	1	44639	46223	0.1286864197530864	1620	521180	4050000	0
bv	uv	1	46223	47734	0.1251755706354102	1621	507274	4052500	0
bv	uv	1	47734	49281	0.126832603406326	1644	521282	4110000	0
bv	uv	1	49281	50814	0.1264398009950249	1608	508288	4020000	0
bv	uv	1	50814	52337	0.1298610630407911	1618	525288	4045000	0
bv	uv	1	52337	53873	0.1214784624771202	1639	497758	4097500	0
bv	uv	1	53873	55396	0.1259038605230386	1606	505504	4015000	0
bv	uv	1	55396	56922	0.1249756457564575	1626	508026	4065000	0
bv	uv	1	56922	58482	0.1208903927492447	1655	500184	4137500	0
bv	uv	1	58482	60037	0.1216521415270018	1611	489954	4027500	0
bv	uv	1	60037	61511	0.1298813725490196	1632	529916	4080000	0
bv	uv	1	61511	63003	0.127180487804878	1640	521440	4100000	0
bv	uv	1	63003	64562	0.1232809876543209	1620	499288	4050000	0
bv	uv	1	64562	66147	0.1276150710315009	1619	516522	4047500	0
bv	uv	1	66147	67712	0.1148906344410876	1655	475360	4137500	0
bv	uv	1	67712	69211	0.1252210018105009	1657	518728	4142500	0
bv	uv	1	69211	70786	0.1277079754601227	1630	520410	4075000	0
bv	uv	1	70786	72323	0.12704305307096	1677	532628	4192500	0
bv	uv	1	72323	73890	0.1261261613691931	1636	515856	4090000	0
bv	uv	1	73890	75469	0.1258249376558603	1604	504558	4010000	0
bv	uv	1	75469	76997	0.1210382671480144	1662	502914	4155000	0
bv	uv	1	76997	78553	0.1234114216281895	1646	507838	4115000	0
bv	uv	1	78553	80065	0.1198361858190709	1636	490130	4090000	0
bv	uv	1	80065	81580	0.1232730500951173	1577	486004	3942500	0
bv	uv	1	81580	83112	0.1231419588875453	1654	509192	4135000	0
bv	uv	1	83112	84623	0.1116625310173697	1612	450000	4030000	0
bv	uv	1	84623	86140	0.1202628853267571	1622	487666	4055000	0
bv	uv	1	86140	87623	0.112101503307276	1663	466062	4157500	0
bv	uv	1	87623	89201	0.1222277300613497	1630	498078	4075000	0
bv	uv	1	89201	90743	0.1210718352513628	1651	499724	4127500	0
bv	uv	1	90743	92267	0.1166366232153941	1611	469754	4027500	0
bv	uv	1	92267	93758	0.1165099937926753	1611	469244	4027500	0
bv	uv	1	93758	95292	0.117074481074481	1638	479420	4095000	0
bv	uv	1	95292	96821	0.124907881773399	1624	507126	4060000	0
bv	uv	1	96821	98366	0.1247210559396606	1591	496078	3977500	0
bv	uv	1	98366	99915	0.1211184418746195	1643	497494	4107500	0
bv	uv	1	99915	101398	0.122181862745098	1632	498502	4080000	0
bv	uv	1	101398	102928	0.1311735456215554	1633	535516	4082500	0
bv	uv	1	102928	104455	0.1159168241965973	1587	459900	3967500	0
bv	uv	1	104455	106006	0.1187139303482587	1608	477230	4020000	0
bv	uv	1	106006	107549	0.1196705882352941	1615	483170	4037500	0
bv	uv	1	107549	109081	0.1250732066217044	1631	509986	4077500	0
bv	uv	1	109081	110603	0.1229294189602446	1635	502474	4087500	0
bv	uv	1	110603	112102	0.1126451612903225	1643	462690	4107500	0
bv	uv	1	112102	113616	0.1244987834549878	1644	511690	4110000	0
bv	uv	1	113616	115134	0.1274517868338558	1595	508214	3987500	0
bv	uv	1	115134	116673	0.1152601322910402	1663	479194	4157500	0
bv	uv	1	116673	118217	0.1192455120101137	1582	471616	3955000	0
bv	uv	1	118217	119756	0.1173175	1600	469270	4000000	0
bv	uv	1	119756	121229	0.1245055	1600	498022	4000000	0
bv	uv	1	121229	122749	0.1211391089108911	1616	489402	4040000	0
bv	uv	1	122749	124217	0.1223020012128562	1649	504190	4122500	0
bv	uv	1	124217	125775	0.1264158808933002	1612	509456	4030000	0
bv	uv	1	125775	127260	0.1199315292636878	1589	476428	3972500	0
bv	uv	1	127260	128784	0.1223548946716232	1614	493702	4035000	0
bv	uv	1	128784	130300	0.1186777101096224	1642	487172	4105000	0
bv	uv	1	130300	131807	0.1217298377028714	1602	487528	4005000	0
bv	uv	1	131807	133366	0.1260246115599751	1609	506934	4022500	0
bv	uv	1	133366	134900	0.1275031367628607	1594	508100	3985000	0
bv	uv	1	134900	136450	0.1250089775561097	1604	501286	4010000	0
bv	uv	1	136450	137950	0.1194028031687995	1641	489850	4102500	0
bv	uv	1	137950	139505	0.12735746496039	1641	522484	4102500	0
bv	uv	1	139505	140992	0.1239029702970297	1616	500568	4040000	0
bv	uv	1	140992	142499	0.1178119331742243	1676	493632	4190000	0
bv	uv	1	142499	144002	0.1265686250757116	1651	522412	4127500	0
bv	uv	1	144002	145509	0.12468	1620	504954	4050000	0
bv	uv	1	145509	147027	0.1292731977818854	1623	524526	4057500	0
bv	uv	1	147027	148505	0.1258967823343848	1585	498866	3962500	0
bv	uv	1	148505	150047	0.1261073170731707	1599	504114	3997500	0
bv	uv	1	150047	151616	0.1219909035033804	1627	496198	4067500	0
bv	uv	1	151616	153160	0.1271289555972482	1599	508198	3997500	0
bv	uv	1	153160	154665	0.1200522811344019	1622	486812	4055000	0
bv	uv	1	154665	156194	0.1296886637112096	1579	511946	3947500	0
bv	uv	1	156194	157728	0.1229588306942752	1642	504746	4105000	0
bv	uv	1	157728	159233	0.1199406467977171	1577	472866	3942500	0
bv	uv	1	159233	160779	0.1310861944777911	1666	545974	4165000	0
