pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
bv	1	1	32769	0.1414883267001119	30823	5342341	37758175	0
uv	1	1	32769	0.141242181328944	30823	5333047	37758175	0
bv	1	32769	65679	0.1441200734540958	30962	5466251	37928450	0
uv	1	32769	65679	0.1438251760881343	30962	5455066	37928450	0
bv	1	65679	98392	0.1437185594952868	30886	5437642	37835350	0
uv	1	65679	98392	0.1439963420452037	30886	5448152	37835350	0
bv	1	98392	131280	0.142663371980504	30897	5399641	37848825	0
uv	1	98392	131280	0.1433398791111745	30897	5425246	37848825	0
uv	1	131280	164437	0.1415283837863868	30725	5326863	37638125	0
bv	1	131280	164437	0.1412824097906046	30725	5317605	37638125	0
bv	1	164437	197465	0.1421205138818219	30964	5390759	37930900	0
uv	1	164437	197465	0.1425657709150059	30964	5407648	37930900	0
bv	1	197465	230271	0.1462753190176445	30956	5546921	37921100	0
uv	1	197465	230271	0.1450488778015405	30956	5500413	37921100	0
bv	1	230271	263520	0.1432013203082855	30568	5362288	37445800	0
uv	1	230271	263520	0.1432010799609035	30568	5362279	37445800	0
bv	1	263520	296423	0.1403121217165495	30650	5268194	37546250	0
uv	1	263520	296423	0.1391845790192096	30650	5225859	37546250	0
bv	1	296423	329310	0.139336046143756	30899	5274047	37851275	0
uv	1	296423	329310	0.1390783533711876	30899	5264293	37851275	0
uv	1	329310	362397	0.1416035516954535	30716	5328131	37627100	0
bv	1	329310	362397	0.1422420808406707	30716	5352157	37627100	0
bv	1	362397	394990	0.1424956401195435	30695	5358032	37601375	0
uv	1	362397	394990	0.1426868565311773	30695	5365222	37601375	0
bv	1	394990	427841	0.1389669709640384	30788	5241181	37715300	0
uv	1	394990	427841	0.1376374574774693	30788	5191038	37715300	0
bv	1	427841	460907	0.1414312388136538	30604	5302243	37489900	0
uv	1	427841	460907	0.1406503885046372	30604	5272969	37489900	0
bv	1	460907	493713	0.1415792013759472	30827	5346466	37763075	0
uv	1	460907	493713	0.1423964017760735	30827	5377326	37763075	0
uv	1	493713	526714	0.1452994685533566	30671	5459188	37571975	0
bv	1	493713	526714	0.1447683013735636	30671	5439231	37571975	0
uv	1	526714	559639	0.1424143099671195	30798	5372943	37727550	0
bv	1	526714	559639	0.1428925016334217	30798	5390984	37727550	0
bv	1	559639	592753	0.1379389979515476	30735	5193455	37650375	0
uv	1	559639	592753	0.1387196807468717	30735	5222848	37650375	0
bv	1	592753	625957	0.1414643097176141	30608	5304176	37494800	0
uv	1	592753	625957	0.1402989481208061	30608	5260481	37494800	0
bv	1	625957	658922	0.1413357733197817	30802	5332945	37732450	0
uv	1	625957	658922	0.1421792382948894	30802	5364771	37732450	0
bv	1	658922	691680	0.1427030222360375	30726	5371249	37639350	0
uv	1	658922	691680	0.1422384818016251	30726	5353764	37639350	0
bv	1	691680	724528	0.1425423820671477	30878	5391744	37825550	0
uv	1	691680	724528	0.1427138534667704	30878	5398230	37825550	0
uv	1	724528	757619	0.141001640356761	30730	5307901	37644250	0
bv	1	724528	757619	0.1418506943291472	30730	5339863	37644250	0
bv	1	757619	790518	0.1411477223493435	30806	5326541	37737350	0
uv	1	757619	790518	0.14176154393459	30806	5349705	37737350	0
bv	1	790518	823628	0.1436726445736209	30681	5399825	37584225	0
uv	1	790518	823628	0.1441795327693999	30681	5418876	37584225	0
bv	1	823628	856561	0.1435672889644232	30837	5423301	37775325	0
uv	1	823628	856561	0.1437739847373914	30837	5431109	37775325	0
bv	1	856561	889170	0.1415634356386411	30864	5352287	37808400	0
uv	1	856561	889170	0.1414249214460278	30864	5347050	37808400	0
bv	1	889170	922102	0.1418614102824629	30932	5375370	37891700	0
uv	1	889170	922102	0.1409382001863205	30932	5340388	37891700	0
uv	1	922102	955070	0.1416484372171703	31005	5379967	37981125	0
bv	1	922102	955070	0.1416125772999088	31005	5378605	37981125	0
bv	1	955070	988153	0.1422199944098137	30739	5355333	37655275	0
uv	1	955070	988153	0.1414311540680555	30739	5325629	37655275	0
bv	1	988153	1020889	0.1431465235644798	30926	5423013	37884350	0
uv	1	988153	1020889	0.1431099385366253	30926	5421627	37884350	0
