pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
bv	uv	1	1	32769	0.1430228855075755	30823	11020986	77057500	0
bv	uv	1	32769	65679	0.1453343840837155	30962	11249608	77405000	0
bv	uv	1	65679	98392	0.1453528459496212	30886	11223420	77215000	0
bv	uv	1	98392	131280	0.1445750461209826	30897	11167338	77242500	0
bv	uv	1	131280	164437	0.1426576143205858	30725	10957888	76812500	0
bv	uv	1	164437	197465	0.1434835034233303	30964	11107058	77410000	0
bv	uv	1	197465	230271	0.1472422535211267	30956	11395078	77390000	0
bv	uv	1	230271	263520	0.1447274012038733	30568	11060068	76420000	0
bv	uv	1	263520	296423	0.1413986296900489	30650	10834670	76625000	0
bv	uv	1	296423	329310	0.140611152464481	30899	10861860	77247500	0
bv	uv	1	329310	362397	0.1434076832920953	30716	11012276	76790000	0
bv	uv	1	362397	394990	0.1442440267144486	30695	11068926	76737500	0
bv	uv	1	394990	427841	0.1400642847862803	30788	10780748	76970000	0
bv	uv	1	427841	460907	0.142706914128872	30604	10918506	76510000	0
bv	uv	1	460907	493713	0.1435905926622765	30827	11066168	77067500	0
bv	uv	1	493713	526714	0.1465663591014313	30671	11238342	76677500	0
bv	uv	1	526714	559639	0.1440671472173517	30798	11092450	76995000	0
bv	uv	1	559639	592753	0.1398228729461526	30735	10743640	76837500	0
bv	uv	1	592753	625957	0.1421923418714061	30608	10880558	76520000	0
bv	uv	1	625957	658922	0.1429213687422894	30802	11005660	77005000	0
bv	uv	1	658922	691680	0.1435872681116969	30726	11029656	76815000	0
bv	uv	1	691680	724528	0.1442036142237191	30878	11131798	77195000	0
bv	uv	1	724528	757619	0.1426674129515131	30730	10960424	76825000	0
bv	uv	1	757619	790518	0.1427827306368889	30806	10996412	77015000	0
bv	uv	1	790518	823628	0.1454558847495192	30681	11156830	76702500	0
bv	uv	1	823628	856561	0.1448659726951389	30837	11168080	77092500	0
bv	uv	1	856561	889170	0.1430972265422498	30864	11041382	77160000	0
bv	uv	1	889170	922102	0.1430359239622397	30932	11060968	77330000	0
bv	uv	1	922102	955070	0.143139829059829	31005	11095126	77512500	0
bv	uv	1	955070	988153	0.143484147174599	30739	11026398	76847500	0
bv	uv	1	988153	1020889	0.1447920843303369	30926	11194600	77315000	0
bv	uv	1	1020889	1053755	0.1418996082528075	30632	10866672	76580000	0
bv	uv	1	1053755	1086553	0.1438773463098134	30825	11087548	77062500	0
bv	uv	1	1086553	1119304	0.1473543027475375	30864	11369858	77160000	0
bv	uv	1	1119304	1152267	0.1458378139519771	30777	11221126	76942500	0
bv	uv	1	1152267	1184912	0.1419602889255984	30873	10956850	77182500	0
bv	uv	1	1184912	1217932	0.1444316826515299	30654	11068522	76635000	0
bv	uv	1	1217932	1251037	0.1394679165446082	30723	10712182	76807500	0
bv	uv	1	1251037	1283827	0.1448269361147327	30680	11108226	76700000	0
bv	uv	1	1283827	1316478	0.1440678217339011	30763	11079896	76907500	0
bv	uv	1	1316478	1349404	0.1444799588172838	31081	11226454	77702500	0
bv	uv	1	1349404	1382394	0.1437169314394797	30907	11104648	77267500	0
bv	uv	1	1382394	1415509	0.1422706287795045	30758	10939900	76895000	0
bv	uv	1	1415509	1448245	0.1422803070047605	30879	10983684	77197500	0
bv	uv	1	1448245	1481161	0.1435302197267209	30811	11055774	77027500	0
bv	uv	1	1481161	1500000	0.1449863820224719	17800	6451894	44500000	0
