pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
bv	1	1	2642	0.1382291872261477	3619	612808	4433275	0
uv	1	1	2642	0.1393369461628254	3619	617719	4433275	0
bv	1	2642	5316	0.1385816463131437	3735	634063	4575375	0
uv	1	2642	5316	0.1403021610250525	3735	641935	4575375	0
bv	1	5316	8020	0.1428396241439719	3588	627823	4395300	0
uv	1	5316	8020	0.1421479762473551	3588	624783	4395300	0
bv	1	8020	10700	0.1440991929038576	3626	640067	4441850	0
uv	1	8020	10700	0.1423974244965498	3626	632508	4441850	0
uv	1	10700	13337	0.1432189587136408	3734	655105	4574150	0
bv	1	10700	13337	0.1426457374594187	3734	652483	4574150	0
bv	1	13337	16000	0.1411565911808958	3703	640311	4536175	0
uv	1	13337	16000	0.1418194844775609	3703	643318	4536175	0
bv	1	16000	18736	0.1363407391784562	3677	614123	4504325	0
uv	1	16000	18736	0.1361058538182746	3677	613065	4504325	0
bv	1	18736	21427	0.1424677597693038	3673	641023	4499425	0
uv	1	18736	21427	0.142154164143196	3673	639612	4499425	0
uv	1	21427	24181	0.1397591404052787	3679	629863	4506775	0
bv	1	21427	24181	0.1371222215442306	3679	617979	4506775	0
bv	1	24181	26860	0.1380194325423767	3577	604777	4381825	0
uv	1	24181	26860	0.1376748272694596	3577	603267	4381825	0
bv	1	26860	29562	0.1395152709359605	3625	619535	4440625	0
uv	1	26860	29562	0.1386944405348346	3625	615890	4440625	0
bv	1	29562	32230	0.1435178934662583	3652	642056	4473700	0
uv	1	29562	32230	0.1445523839327626	3652	646684	4473700	0
bv	1	32230	34940	0.1359265597908121	3637	605597	4455325	0
uv	1	32230	34940	0.1367673514277858	3637	609343	4455325	0
bv	1	34940	37626	0.1365727806191713	3683	616172	4511675	0
uv	1	34940	37626	0.139722165271213	3683	630381	4511675	0
bv	1	37626	40342	0.1460534605146406	3680	658409	4508000	0
uv	1	37626	40342	0.1423726708074534	3680	641816	4508000	0
bv	1	40342	43047	0.1388260069019504	3702	629569	4534950	0
uv	1	40342	43047	0.136604372705322	3702	619494	4534950	0
uv	1	43047	45721	0.1354626918444692	3694	612989	4525150	0
bv	1	43047	45721	0.1356624642277051	3694	613893	4525150	0
bv	1	45721	48407	0.1439008205573555	3666	646237	4490850	0
uv	1	45721	48407	0.1438413663337675	3666	645970	4490850	0
bv	1	48407	51085	0.1422620144832126	3720	648288	4557000	0
uv	1	48407	51085	0.1405246872942725	3720	640371	4557000	0
bv	1	51085	53751	0.1384842408992542	3593	609528	4401425	0
uv	1	51085	53751	0.13580147338646	3593	597720	4401425	0
bv	1	53751	56384	0.1439747116237799	3680	649038	4508000	0
uv	1	53751	56384	0.141755767524401	3680	639035	4508000	0
bv	1	56384	59048	0.1405775770075031	3691	635618	4521475	0
uv	1	56384	59048	0.1388325712295213	3691	627728	4521475	0
bv	1	59048	61746	0.1383077999844467	3674	622475	4500650	0
uv	1	59048	61746	0.1358670414273493	3674	611490	4500650	0
bv	1	61746	64447	0.1433694872664402	3671	644729	4496975	0
uv	1	61746	64447	0.134719895040555	3671	605832	4496975	0
uv	1	64447	67189	0.1339512837393021	3720	610416	4557000	0
bv	1	64447	67189	0.1366535001097213	3720	622730	4557000	0
bv	1	67189	69905	0.1406694058655076	3606	621386	4417350	0
uv	1	67189	69905	0.1385262657475635	3606	611919	4417350	0
bv	1	69905	72583	0.1401742632536885	3689	633451	4519025	0
uv	1	69905	72583	0.1395398343669265	3689	630584	4519025	0
bv	1	72583	75317	0.1349396142794802	3601	595249	4411225	0
uv	1	72583	75317	0.1394363243770154	3601	615085	4411225	0
uv	1	75317	78035	0.1370714032929439	3633	610026	4450425	0
bv	1	75317	78035	0.1344763702343034	3633	598477	4450425	0
bv	1	78035	80709	0.1370707115278543	3700	621273	4532500	0
uv	1	78035	80709	0.1331684500827357	3700	603586	4532500	0
