pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
bv	1	1	1528	0.1192684477578447	1637	239172	2005325	0
uv	1	1	1528	0.1137496415792951	1637	228105	2005325	0
bv	1	1528	3063	0.1172066169641288	1626	233458	1991850	0
uv	1	1528	3063	0.1085332730878329	1626	216182	1991850	0
bv	1	3063	4559	0.1196728654470419	1622	237784	1986950	0
uv	1	3063	4559	0.1131060167593547	1622	224736	1986950	0
bv	1	4559	6083	0.1273624582913013	1578	246198	1933050	0
uv	1	4559	6083	0.119314037402033	1578	230640	1933050	0
bv	1	6083	7621	0.1168189500769405	1618	231541	1982050	0
uv	1	6083	7621	0.111752478494488	1618	221499	1982050	0
bv	1	7621	9151	0.1185185185185185	1647	239120	2017575	0
uv	1	7621	9151	0.1154336270027136	1647	232896	2017575	0
uv	1	9151	10700	0.1128793016906822	1667	230508	2042075	0
bv	1	9151	10700	0.1138601667421617	1667	232511	2042075	0
bv	1	10700	12251	0.1162497671009974	1643	233973	2012675	0
uv	1	10700	12251	0.1078976983367906	1643	217163	2012675	0
bv	1	12251	13826	0.1131364190777974	1623	224935	1988175	0
uv	1	12251	13826	0.1063467753090145	1623	211436	1988175	0
bv	1	13826	15343	0.1121424824519771	1634	224470	2001650	0
uv	1	13826	15343	0.1083526090974945	1634	216884	2001650	0
bv	1	15343	16897	0.1199150180586625	1633	239881	2000425	0
uv	1	15343	16897	0.1151990202082057	1633	230447	2000425	0
bv	1	16897	18436	0.1144077679497949	1652	231527	2023700	0
uv	1	16897	18436	0.110720462519148	1652	224065	2023700	0
bv	1	18436	19958	0.12484493797519	1632	249590	1999200	0
uv	1	18436	19958	0.1183708483393357	1632	236647	1999200	0
bv	1	19958	21438	0.1220080624842529	1620	242125	1984500	0
uv	1	19958	21438	0.1206671705719324	1620	239464	1984500	0
uv	1	21438	22980	0.1111037171558106	1607	218716	1968575	0
bv	1	21438	22980	0.1145534206215155	1607	225507	1968575	0
bv	1	22980	24507	0.1169232693077231	1632	233753	1999200	0
uv	1	22980	24507	0.1115196078431372	1632	222950	1999200	0
bv	1	24507	26076	0.1169771330218834	1660	237873	2033500	0
uv	1	24507	26076	0.1101937546102778	1660	224079	2033500	0
bv	1	26076	27650	0.1235165230346386	1589	240428	1946525	0
uv	1	26076	27650	0.1205296618332669	1589	234614	1946525	0
bv	1	27650	29199	0.124243880729862	1605	244279	1966125	0
uv	1	27650	29199	0.1185763875643715	1605	233136	1966125	0
bv	1	29199	30753	0.122580417731559	1621	243411	1985725	0
uv	1	29199	30753	0.1166228959196263	1621	231581	1985725	0
bv	1	30753	32266	0.1195481049562682	1568	229628	1920800	0
uv	1	30753	32266	0.1183564139941691	1568	227339	1920800	0
uv	1	32266	33822	0.1130046702066406	1595	220797	1953875	0
bv	1	32266	33822	0.1165657987332864	1595	227755	1953875	0
uv	1	33822	35380	0.1111577246854214	1617	220184	1980825	0
bv	1	33822	35380	0.1117918039200838	1617	221440	1980825	0
bv	1	35380	36939	0.1241871408757677	1648	250709	2018800	0
uv	1	35380	36939	0.1173528829007331	1648	236912	2018800	0
bv	1	36939	38458	0.1162206546204433	1623	231067	1988175	0
uv	1	36939	38458	0.1144501867290354	1623	227547	1988175	0
bv	1	38458	40003	0.119159530725414	1623	236910	1988175	0
uv	1	38458	40003	0.1146735071107925	1623	227991	1988175	0
bv	1	40003	41517	0.1169800895968143	1640	235013	2009000	0
uv	1	40003	41517	0.1125858636137381	1640	226185	2009000	0
bv	1	41517	43055	0.1214103962195565	1572	233800	1925700	0
uv	1	41517	43055	0.1168022017967492	1572	224926	1925700	0
bv	1	43055	44571	0.1232803582404074	1627	245707	1993075	0
uv	1	43055	44571	0.1147924689236481	1627	228790	1993075	0
bv	1	44571	46118	0.1176922393101609	1607	231686	1968575	0
uv	1	44571	46118	0.1134480525253038	1607	223331	1968575	0
uv	1	46118	47655	0.1149128492598756	1631	229593	1997975	0
bv	1	46118	47655	0.1263178968705814	1631	252380	1997975	0
bv	1	47655	49231	0.1173200324906081	1608	231097	1969800	0
uv	1	47655	49231	0.1097426134632957	1608	216171	1969800	0
bv	1	49231	50770	0.120581784952787	1608	237522	1969800	0
uv	1	49231	50770	0.1159777642400243	1608	228453	1969800	0
bv	1	50770	52272	0.1238937876252092	1634	247992	2001650	0
uv	1	50770	52272	0.1192411260709914	1634	238679	2001650	0
bv	1	52272	53769	0.1202882338120433	1620	238712	1984500	0
uv	1	52272	53769	0.1132824389014865	1620	224809	1984500	0
bv	1	53769	55309	0.1268834016111048	1629	253199	1995525	0
uv	1	53769	55309	0.1228233171721727	1629	245097	1995525	0
bv	1	55309	56894	0.1176151271148104	1579	227500	1934275	0
uv	1	55309	56894	0.11024905972522	1579	213252	1934275	0
uv	1	56894	58409	0.11565527868606	1629	230793	1995525	0
bv	1	56894	58409	0.1212828704225705	1629	242023	1995525	0
bv	1	58409	59962	0.1220890607650189	1599	239145	1958775	0
uv	1	58409	59962	0.1178409975622519	1599	230824	1958775	0
bv	1	59962	61460	0.1212598826180503	1603	238115	1963675	0
uv	1	59962	61460	0.1155425414083287	1603	226888	1963675	0
bv	1	61460	62945	0.1178036814253167	1693	244316	2073925	0
uv	1	61460	62945	0.1154140096676591	1693	239360	2073925	0
bv	1	62945	64513	0.1245918367346938	1656	252747	2028600	0
uv	1	62945	64513	0.1183604456275263	1656	240106	2028600	0
bv	1	64513	66039	0.1255871446229913	1618	248920	1982050	0
uv	1	64513	66039	0.1176821977245781	1618	233252	1982050	0
bv	1	66039	67556	0.1230669557200169	1638	246940	2006550	0
uv	1	66039	67556	0.1197592883307169	1638	240303	2006550	0
uv	1	67556	69074	0.1168169748045828	1637	234256	2005325	0
bv	1	67556	69074	0.1230399062496104	1637	246735	2005325	0
uv	1	69074	70602	0.1150301918520217	1602	225741	1962450	0
bv	1	69074	70602	0.1190129684832734	1602	233557	1962450	0
bv	1	70602	72095	0.1154426004523851	1606	227116	1967350	0
uv	1	70602	72095	0.1133580705009276	1606	223015	1967350	0
