pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
bv	uv	1	1	2821	0.1560781636256621	3398	1325884	8495000	0
bv	uv	1	2821	5646	0.1562851051570152	3471	1356164	8677500	0
bv	uv	1	5646	8571	0.1592844364937388	3354	1335600	8385000	0
bv	uv	1	8571	11408	0.1630810339819924	3443	1403720	8607500	0
bv	uv	1	11408	14269	0.161852995391705	3472	1404884	8680000	0
bv	uv	1	14269	17118	0.154981351981352	3432	1329740	8580000	0
bv	uv	1	17118	20041	0.1539970063327576	3474	1337464	8685000	0
bv	uv	1	20041	22929	0.1579116306253652	3422	1350934	8555000	0
bv	uv	1	22929	25800	0.1571019002375296	3368	1322798	8420000	0
bv	uv	1	25800	28633	0.1528042477876106	3390	1295016	8475000	0
bv	uv	1	28633	31472	0.1581051886792452	3392	1340732	8480000	0
bv	uv	1	31472	34368	0.158263981042654	3376	1335748	8440000	0
bv	uv	1	34368	37200	0.1532916346438072	3383	1296464	8457500	0
bv	uv	1	37200	40118	0.1618164239953407	3434	1389194	8585000	0
bv	uv	1	40118	43035	0.1574341520467836	3420	1346062	8550000	0
bv	uv	1	43035	45958	0.1518880277617119	3458	1313072	8645000	0
bv	uv	1	45958	48865	0.159667299396031	3477	1387908	8692500	0
bv	uv	1	48865	51724	0.1590362058993638	3458	1374868	8645000	0
bv	uv	1	51724	54527	0.1536186371578334	3434	1318816	8585000	0
bv	uv	1	54527	57393	0.1605570180547466	3434	1378382	8585000	0
bv	uv	1	57393	60231	0.1562878106508875	3380	1320632	8450000	0
bv	uv	1	60231	63072	0.156929070455891	3378	1325266	8445000	0
bv	uv	1	63072	65947	0.1521778038755138	3406	1295794	8515000	0
bv	uv	1	65947	68887	0.1535942583732057	3344	1284048	8360000	0
bv	uv	1	68887	71818	0.1577735080058224	3435	1354880	8587500	0
bv	uv	1	71818	74693	0.1568928057553957	3336	1308486	8340000	0
bv	uv	1	74693	77591	0.1551517159763313	3380	1311032	8450000	0
bv	uv	1	77591	80450	0.1474841363102232	3404	1255090	8510000	0
bv	uv	1	80450	83343	0.1571823340157941	3419	1343516	8547500	0
bv	uv	1	83343	86176	0.1572272460364063	3406	1338790	8515000	0
bv	uv	1	86176	89061	0.155796138996139	3367	1311414	8417500	0
bv	uv	1	89061	91921	0.1581720863309352	3475	1374120	8687500	0
bv	uv	1	91921	94746	0.1601948006932409	3462	1386486	8655000	0
bv	uv	1	94746	97612	0.1572110049232551	3453	1357124	8632500	0
bv	uv	1	97612	100536	0.16168233559422	3391	1370662	8477500	0
bv	uv	1	100536	103459	0.158826069480333	3483	1382978	8707500	0
bv	uv	1	103459	106389	0.1599703960682278	3459	1383344	8647500	0
bv	uv	1	106389	109271	0.1583451071221772	3454	1367310	8635000	0
bv	uv	1	109271	112175	0.1447165400350672	3422	1238050	8555000	0
bv	uv	1	112175	115021	0.1519440935672514	3420	1299122	8550000	0
bv	uv	1	115021	117886	0.1573339605998235	3401	1337732	8502500	0
bv	uv	1	117886	120771	0.1584604308055473	3389	1342556	8472500	0
bv	uv	1	120771	123642	0.1565273416982783	3427	1341048	8567500	0
bv	uv	1	123642	126515	0.1567080673244341	3446	1350040	8615000	0
bv	uv	1	126515	129411	0.1564452677279305	3455	1351296	8637500	0
bv	uv	1	129411	132296	0.1527979154603358	3454	1319410	8635000	0
bv	uv	1	132296	135156	0.1491068589932293	3397	1266290	8492500	0
bv	uv	1	135156	138103	0.1591012198750372	3361	1336848	8402500	0
bv	uv	1	138103	140977	0.1500708800945067	3386	1270350	8465000	0
bv	uv	1	140977	143894	0.1622869793183804	3433	1392828	8582500	0
bv	uv	1	143894	146751	0.1586330097087378	3399	1347984	8497500	0
bv	uv	1	146751	149607	0.1611452436194895	3448	1389072	8620000	0
bv	uv	1	149607	152387	0.155641249263406	3394	1320616	8485000	0
bv	uv	1	152387	155243	0.1572120070629782	3398	1335516	8495000	0
bv	uv	1	155243	158118	0.1645987142022209	3422	1408142	8555000	0
bv	uv	1	158118	160967	0.1597538281020827	3409	1361502	8522500	0
bv	uv	1	160967	163848	0.1581148469093009	3462	1368484	8655000	0
bv	uv	1	163848	166700	0.1612138171262699	3445	1388454	8612500	0
bv	uv	1	166700	169515	0.1531067776456599	3364	1287628	8410000	0
bv	uv	1	169515	172446	0.1524474615607775	3447	1313716	8617500	0
bv	uv	1	172446	175400	0.1629025909752547	3435	1398926	8587500	0
bv	uv	1	175400	178286	0.1549565115598478	3417	1323716	8542500	0
bv	uv	1	178286	181168	0.1536248826291079	3408	1308884	8520000	0
bv	uv	1	181168	184103	0.1533761489237929	3438	1318268	8595000	0
bv	uv	1	184103	186992	0.1577029842012873	3418	1347572	8545000	0
bv	uv	1	186992	189894	0.1607148148148148	3456	1388576	8640000	0
bv	uv	1	189894	192718	0.1618757062146892	3363	1360970	8407500	0
bv	uv	1	192718	195643	0.1599370707367185	3407	1362264	8517500	0
bv	uv	1	195643	198515	0.1544832830416415	3314	1279894	8285000	0
bv	uv	1	198515	201395	0.159521377672209	3368	1343170	8420000	0
bv	uv	1	201395	204235	0.1556312921183709	3413	1327924	8532500	0
bv	uv	1	204235	207058	0.1563203703703703	3456	1350608	8640000	0
bv	uv	1	207058	209958	0.157233168460867	3437	1351026	8592500	0
bv	uv	1	209958	212847	0.1581652199586654	3387	1339264	8467500	0
bv	uv	1	212847	215665	0.1581936298421807	3485	1378262	8712500	0
bv	uv	1	215665	218567	0.15538646971935	3385	1314958	8462500	0
bv	uv	1	218567	221476	0.1471252619324796	3436	1263806	8590000	0
bv	uv	1	221476	224377	0.1527946183094472	3419	1306012	8547500	0
bv	uv	1	224377	227304	0.155644735276621	3362	1308194	8405000	0
bv	uv	1	227304	230148	0.1593653789442642	3391	1351020	8477500	0
bv	uv	1	230148	233026	0.1543697459584295	3464	1336842	8660000	0
bv	uv	1	233026	235895	0.1494088391278727	3394	1267734	8485000	0
bv	uv	1	235895	238724	0.152149869300029	3443	1309630	8607500	0
bv	uv	1	238724	241619	0.1547575864089045	3414	1320856	8535000	0
bv	uv	1	241619	244553	0.1557076058005327	3379	1315340	8447500	0
bv	uv	1	244553	247469	0.1558317023146791	3413	1329634	8532500	0
bv	uv	1	247469	250342	0.1592693476318141	3357	1336668	8392500	0
bv	uv	1	250342	253264	0.1532152725153016	3431	1314204	8577500	0
bv	uv	1	253264	256152	0.1558057175859081	3463	1348888	8657500	0
bv	uv	1	256152	259062	0.1508897480960749	3414	1287844	8535000	0
