#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	name2	_cdsStartStat	_cdsEndStat	_exonFrames	type	geneName	geneName2	geneType	description
chr2	18394396	18460485	XM_063980301.1	0	-	18394813	18460107	0	2	1853,1135,	0,64954,	LOC135085504	cmpl	cmpl	1,0,	protein_coding	135085504	XM_063980301.1	mRNA	uncharacterized LOC135085504
chr3	12676445	12721253	XM_063982846.1	0	-	12676893	12720973	0	48	745,140,235,109,441,226,181,171,138,165,489,216,212,271,144,151,131,187,232,239,215,114,249,249,93,30,231,206,71,200,252,162,160,171,202,241,236,199,1815,222,283,189,205,236,167,195,306,427,	0,1203,2395,4351,4805,5437,7095,8130,9262,9760,10188,10993,15149,16057,16891,17141,18055,18692,19237,19791,20871,21194,22688,23933,25376,26582,26722,31078,31554,31819,32643,32970,33777,34509,35312,35604,38346,38659,38938,41026,41528,41942,42233,42520,42842,43126,43419,44381,	LOC135087975	cmpl	cmpl	0,1,0,2,2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,2,0,0,0,0,0,0,0,1,2,0,0,0,2,2,1,0,1,0,0,0,2,2,1,2,0,0,0,0,	protein_coding	135087975	XM_063982846.1	mRNA	transcription-associated protein 1
chr3	12722453	12729472	XM_063982847.1	0	+	12722584	12728272	0	1	7019,	0,	LOC135087976	cmpl	cmpl	0,	protein_coding	135087976	XM_063982847.1	mRNA	plexin-B
chr3	12731100	12743536	XM_063982848.1	0	-	12732822	12743391	0	7	1994,155,195,184,168,173,300,	0,3419,3956,7503,10104,10724,12136,	LOC135087977	cmpl	cmpl	1,2,2,1,1,2,0,	protein_coding	135087977	XM_063982848.1	mRNA	abhydrolase domain-containing protein 2
chr3	12748554	12757248	XM_063982849.1	0	-	12751630	12756991	0	7	3223,111,241,434,74,69,2289,	0,3803,4965,5563,6079,6250,6405,	LOC135087978	cmpl	cmpl	0,0,2,0,1,1,0,	protein_coding	135087978	XM_063982849.1	mRNA	putative Polycomb group protein ASXL3
chr3	12757590	12764022	XM_063982850.1	0	+	12757742	12763072	0	7	166,1137,62,60,234,219,994,	0,408,1755,3068,3218,3591,5438,	LOC135087979	cmpl	cmpl	0,2,2,1,1,1,1,	protein_coding	135087979	XM_063982850.1	mRNA	uncharacterized LOC135087979
chr5	16997513	17093345	XM_063966006.1	0	+	16997771	17091685	0	8	293,52,105,162,150,168,261,2014,	0,16781,82799,90499,91315,92263,92894,93818,	LOC135072063	cmpl	cmpl	0,2,0,0,0,0,0,0,	protein_coding	135072063	XM_063966006.1	mRNA	TNF receptor-associated factor 4
chr7	4799881	4894272	XM_063967149.1	0	+	4815096	4890213	0	12	304,77,131,130,131,99,41,178,81,167,235,4173,	0,15172,69605,72877,83605,85321,86318,86694,87952,88305,89533,90218,	LOC135073110	cmpl	cmpl	-1,0,1,0,1,0,0,2,0,0,2,0,	protein_coding	135073110	XM_063967149.1	mRNA	protein scalloped
chr7	4799881	4894272	XM_063967150.1	0	+	4800151	4890213	0	11	304,131,130,131,99,41,178,81,167,235,4173,	0,69605,72877,83605,85321,86318,86694,87952,88305,89533,90218,	LOC135073110	cmpl	cmpl	0,1,0,1,0,0,2,0,0,2,0,	protein_coding	135073110	XM_063967150.1	mRNA	protein scalloped
chr7	4799885	4894272	XM_063967151.1	0	+	4815096	4890213	0	11	300,77,131,130,131,41,178,81,167,235,4173,	0,15168,69601,72873,83601,86314,86690,87948,88301,89529,90214,	LOC135073110	cmpl	cmpl	-1,0,1,0,1,0,2,0,0,2,0,	protein_coding	135073110	XM_063967151.1	mRNA	protein scalloped
chr7	4820772	4825645	XM_063967727.1	0	-	4822756	4825005	0	6	2142,87,153,54,245,741,	0,2259,2820,3382,3653,4132,	LOC135073555	cmpl	cmpl	1,1,1,1,2,0,	protein_coding	135073555	XM_063967727.1	mRNA	THAP domain-containing protein 5-like
chr8	4935836	4950275	XM_063967951.1	0	-	4936132	4945430	0	5	4484,120,300,398,239,	0,4600,5444,9354,14200,	LOC135073780	cmpl	cmpl	0,0,0,0,-1,	protein_coding	135073780	XM_063967951.1	mRNA	uncharacterized LOC135073780
chr8	4935836	4950275	XM_063967953.1	0	-	4936132	4945430	0	5	4484,120,300,370,239,	0,4600,5444,9354,14200,	LOC135073780	cmpl	cmpl	0,0,0,0,-1,	protein_coding	135073780	XM_063967953.1	mRNA	uncharacterized LOC135073780
chr8	4935836	4978947	XM_063967955.1	0	-	4936132	4978814	0	5	4484,120,300,93,184,	0,4600,5444,28563,42927,	LOC135073780	cmpl	cmpl	0,0,0,0,0,	protein_coding	135073780	XM_063967955.1	mRNA	uncharacterized LOC135073780
chr8	4935836	5028903	XM_063967952.1	0	-	4936132	5016707	0	6	4484,120,300,93,214,388,	0,4600,5444,28563,80724,92679,	LOC135073780	cmpl	cmpl	0,0,0,0,0,-1,	protein_coding	135073780	XM_063967952.1	mRNA	uncharacterized LOC135073780
